Season_Name,Metrics,Player_Name,Team_Name,Total_matches_played,Points,Player_type
SEASON 7, Total Points,Pawan Kumar Sehrawat,bengaluru bulls,19,256,Raider
SEASON 7, Total Points,Pardeep Narwal,patna pirates,19,243,Raider
SEASON 7, Total Points,Naveen Kumar,dabang delhi,19,243,Raider
SEASON 7, Total Points,Maninder Singh,bengal warriors,19,192,Raider
SEASON 7, Total Points,Siddharth Sirish Desai,telugu titans,18,177,Raider
SEASON 7, Total Points,Deepak Niwas Hooda,jaipur pink,20,158,All Rounder
SEASON 7, Total Points,Vikash Kandola,haryana steelers,16,157,Raider
SEASON 7, Total Points,Manjeet,puneri paltan,20,131,Raider
SEASON 7, Total Points,Rohit Gulia,gujarat fortunegiants,20,127,All Rounder
SEASON 7, Total Points,Rahul Chaudhari,tamil thalaivas,19,125,Raider
SEASON 7, Total Points,Shrikant Jadhav,up yoddha,18,117,Raider
SEASON 7, Total Points,Pankaj Mohite,puneri paltan,16,113,Raider
SEASON 7, Total Points,Abhishek Singh,u mumba,16,109,Raider
SEASON 7, Total Points,Chandran Ranjit,dabang delhi,18,104,Raider
SEASON 7, Total Points,K. Prapanjan,bengal warriors,18,101,Raider
SEASON 7, Total Points,Vinay,haryana steelers,19,96,Raider
SEASON 7, Total Points,Mohammad Esmaeil Nabibakhsh,bengal warriors,19,95,All Rounder
SEASON 7, Total Points,Rohit Kumar,bengaluru bulls,17,92,Raider
SEASON 7, Total Points,V. Ajith Kumar,tamil thalaivas,16,91,Raider
SEASON 7, Total Points,Sachin Tanwar,gujarat fortunegiants,16,85,Raider
SEASON 7, Total Points,Arjun Deshwal,u mumba,16,78,Raider
SEASON 7, Total Points,Sandeep Kumar Dhull,jaipur pink,20,68,"Defender, left corner"
SEASON 7, Total Points,More GB,gujarat fortunegiants,17,64,Raider
SEASON 7, Total Points,Sumit,up yoddha,18,63,"Defender, left corner"
SEASON 7, Total Points,Surender Gill,up yoddha,15,62,Raider
SEASON 7, Total Points,Vishal Bhardwaj,telugu titans,18,61,Defender
SEASON 7, Total Points,Nitin Tomar,puneri paltan,13,60,Raider
SEASON 7, Total Points,Fazel Atrachali,u mumba,18,59,"Defender, left corner"
SEASON 7, Total Points,Prashanth Kumar Rai,haryana steelers,13,58,Raider
SEASON 7, Total Points,Sandeep Narwal,u mumba,18,58,All Rounder
SEASON 7, Total Points,Ajay Thakur,tamil thalaivas,13,58,Raider
SEASON 7, Total Points,Naveen,haryana steelers,14,58,Raider
SEASON 7, Total Points,Sonu Jaglan,gujarat fortunegiants,15,56,Raider
SEASON 7, Total Points,Baldev Singh,bengal warriors,19,56,"Defender, right corner"
SEASON 7, Total Points,Deepak Narwal,jaipur pink,17,56,Raider
SEASON 7, Total Points,Ravinder Pahal,dabang delhi,19,55,"Defender, right corner"
SEASON 7, Total Points,Nilesh Salunke,jaipur pink,17,55,Raider
SEASON 7, Total Points,PO Surjeet Singh,puneri paltan,19,53,"Defender, right cover"
SEASON 7, Total Points,Farhad Rahimi Milaghardan,telugu titans,18,52,All Rounder
SEASON 7, Total Points,Neeraj Kumar,patna pirates,19,51,"Defender, right cover"
SEASON 7, Total Points,Nitesh Kumar,up yoddha,18,51,Defender
SEASON 7, Total Points,Nitin Rawal,jaipur pink,15,51,All Rounder
SEASON 7, Total Points,Rinku Narwal,bengal warriors,19,51,Defender
SEASON 7, Total Points,Jang Kun Lee,patna pirates,13,50,Raider
SEASON 7, Total Points,Surinder Singh,u mumba,18,49,Defender
SEASON 7, Total Points,Vijay,dabang delhi,18,49,All Rounder
SEASON 7, Total Points,Jaideep,patna pirates,19,48,"Defender, left corner"
SEASON 7, Total Points,Parvesh Bhainswal,gujarat fortunegiants,20,48,"Defender, left cover"
SEASON 7, Total Points,Saurabh Nandal,bengaluru bulls,18,48,"Defender, left corner"
SEASON 7, Total Points,Sunil Kumar,gujarat fortunegiants,18,47,Defender
SEASON 7, Total Points,Rishank Devadiga,up yoddha,14,47,Raider
SEASON 7, Total Points,Monu Goyat,up yoddha,10,46,Raider
SEASON 7, Total Points,Rohit Baliyan,u mumba,15,46,Raider
SEASON 7, Total Points,Mahender Singh,bengaluru bulls,16,46,"Defender, left cover"
SEASON 7, Total Points,Sunil,haryana steelers,17,46,"Defender, right corner"
SEASON 7, Total Points,Rajnish,telugu titans,10,45,Raider
SEASON 7, Total Points,Athul MS,u mumba,14,45,Raider
SEASON 7, Total Points,Suraj Desai,telugu titans,12,45,Raider
SEASON 7, Total Points,Joginder Singh Narwal,dabang delhi,19,45,"Defender, left corner"
SEASON 7, Total Points,Dharmaraj Cheralathan,haryana steelers,17,44,"Defender, right and left corner"
SEASON 7, Total Points,Hadi Oshtorak,patna pirates,19,43,All Rounder
SEASON 7, Total Points,Amit Sheoran,bengaluru bulls,19,43,Defender
SEASON 7, Total Points,Vishal,jaipur pink,14,41,All Rounder
SEASON 7, Total Points,Manjeet Chhillar,tamil thalaivas,15,41,All Rounder
SEASON 7, Total Points,Ravi Kumar,haryana steelers,17,40,"Defender, right cover"
SEASON 7, Total Points,Abozar Mohajermighani,telugu titans,18,40,Defender
SEASON 7, Total Points,Sumit Singh,bengaluru bulls,15,39,Raider
SEASON 7, Total Points,Vikas Kale,haryana steelers,18,38,"Defender, right cover"
SEASON 7, Total Points,Mohammad Esmaeil Maghsoudlou Mahalli,patna pirates,17,38,Raider
SEASON 7, Total Points,Amit Kumar,puneri paltan,13,37,Raider
SEASON 7, Total Points,Ran Singh,tamil thalaivas,18,37,All Rounder
SEASON 7, Total Points,Amit Hooda,jaipur pink,14,37,"Defender, right corner"
SEASON 7, Total Points,Mohit Chhillar,tamil thalaivas,18,37,"Defender, right corner"
SEASON 7, Total Points,Monu,patna pirates,19,36,Raider
SEASON 7, Total Points,Jadhav Balasaheb Shahaji,puneri paltan,18,35,"Defender, right cover"
SEASON 7, Total Points,Sukesh Hegde,bengal warriors,12,34,Raider
SEASON 7, Total Points,Girish Maruti Ernak,puneri paltan,15,32,"Defender, left corner"
SEASON 7, Total Points,Ashu Singh,up yoddha,18,32,"Defender, right cover"
SEASON 7, Total Points,Jeeva Kumar,bengal warriors,18,31,"Defender, right and left cover"
SEASON 7, Total Points,Meraj Sheykh,dabang delhi,12,31,All Rounder
SEASON 7, Total Points,Rakesh Gowda,telugu titans,9,31,Raider
SEASON 7, Total Points,Shabeer Bappu,tamil thalaivas,14,29,Raider
SEASON 7, Total Points,Vikas Jaglan,patna pirates,19,28,All Rounder
SEASON 7, Total Points,Anil Kumar,dabang delhi,15,27,"Defender, left cover"
SEASON 7, Total Points,Pawan Kumar Kadian,puneri paltan,6,25,Raider
SEASON 7, Total Points,Amit,up yoddha,18,25,"Defender, left cover"
SEASON 7, Total Points,Vishal Mane,dabang delhi,19,24,"Defender, right cover"
SEASON 7, Total Points,C. Arun,telugu titans,18,23,"Defender, left cover"
SEASON 7, Total Points,Pankaj,gujarat fortunegiants,9,21,All Rounder
SEASON 7, Total Points,Banty,bengaluru bulls,11,21,Raider
SEASON 7, Total Points,Sushil Gulia,jaipur pink,7,20,Raider
SEASON 7, Total Points,Ajinkya Ashok Pawar,jaipur pink,14,19,Raider
SEASON 7, Total Points,Shubham Shinde,puneri paltan,13,18,"Defender, right corner"
SEASON 7, Total Points,Amit Kumar,puneri paltan,6,18,All Rounder
SEASON 7, Total Points,Mohit Sehrawat,bengaluru bulls,13,17,"Defender, right cover"
SEASON 7, Total Points,Harendra Kumar,u mumba,16,17,"Defender, left cover"
SEASON 7, Total Points,Hadi Tajik,puneri paltan,12,17,"Defender, right corner"
SEASON 7, Total Points,Vineet Sharma,tamil thalaivas,11,16,Raider
SEASON 7, Total Points,Ruturaj Shivaji Koravi,gujarat fortunegiants,15,15,Defender
SEASON 7, Total Points,Sumit Malik,gujarat fortunegiants,14,15,"Defender, left corner"
SEASON 7, Total Points,Ajeet,tamil thalaivas,14,14,"Defender, right cover"
SEASON 7, Total Points,Santhapanaselvam,jaipur pink,8,14,All Rounder
SEASON 7, Total Points,Sagar B Krishna,puneri paltan,12,14,All Rounder
SEASON 7, Total Points,Selvamani K,haryana steelers,7,13,Raider
SEASON 7, Total Points,Amit Kumar,telugu titans,9,13,Raider
SEASON 7, Total Points,Ankit,gujarat fortunegiants,12,13,"Defender, right corner"
SEASON 7, Total Points,Sushant Sail,puneri paltan,9,12,Raider
SEASON 7, Total Points,Sachin Narwal,jaipur pink,12,12,All Rounder
SEASON 7, Total Points,Pavan T. R.,jaipur pink,15,12,"Defender, right cover"
SEASON 7, Total Points,Surender Singh,up yoddha,4,11,Raider
SEASON 7, Total Points,Dong Geon Lee,u mumba,4,10,Raider
SEASON 7, Total Points,Vinod Kumar,gujarat fortunegiants,9,10,All Rounder
SEASON 7, Total Points,Sagar,tamil thalaivas,10,10,"Defender, right corner"
SEASON 7, Total Points,Sunil Siddhgavali,jaipur pink,14,9,Defender
SEASON 7, Total Points,Armaan,telugu titans,6,9,All Rounder
SEASON 7, Total Points,Victor Onyango Obiero,tamil thalaivas,3,8,All Rounder
SEASON 7, Total Points,Emad Sedaghatnia,puneri paltan,2,8,Raider
SEASON 7, Total Points,Ankit Beniwal,telugu titans,6,8,Raider
SEASON 7, Total Points,Kuldeep Singh,haryana steelers,9,8,Defender
SEASON 7, Total Points,Mohsen Maghsoudloujafari,up yoddha,11,8,All Rounder
SEASON 7, Total Points,Saeid Ghaffari,dabang delhi,9,8,"Defender, left cover"
SEASON 7, Total Points,Darshan Kadian,puneri paltan,7,8,Raider
SEASON 7, Total Points,M. Abishek,tamil thalaivas,6,8,"Defender, right cover"
SEASON 7, Total Points,Ankush,up yoddha,3,7,Raider
SEASON 7, Total Points,Chand Singh,haryana steelers,9,7,"Defender, left corner"
SEASON 7, Total Points,Sanket Sawant,puneri paltan,5,7,"Defender, left cover"
SEASON 7, Total Points,Viraj Vishnu Landge,bengal warriors,8,7,"Defender, left cover"
SEASON 7, Total Points,Young Chang Ko,u mumba,10,6,"Defender, left cover"
SEASON 7, Total Points,Anand,tamil thalaivas,5,6,Raider
SEASON 7, Total Points,Azad Singh,up yoddha,4,6,Raider
SEASON 7, Total Points,Ankit,bengaluru bulls,7,6,Defender
SEASON 7, Total Points,Krushna Madane,telugu titans,9,6,Defender
SEASON 7, Total Points,Ashish Kumar,bengaluru bulls,7,6,All Rounder
SEASON 7, Total Points,Abolfazl Maghsodloumahali,gujarat fortunegiants,6,5,Raider
SEASON 7, Total Points,Jawahar Dagar,patna pirates,7,5,Defender
SEASON 7, Total Points,Lalit Chaudhary,gujarat fortunegiants,4,5,Raider
SEASON 7, Total Points,Vijay Kumar,bengaluru bulls,9,5,"Defender, right corner"
SEASON 7, Total Points,Harmanjit Singh,gujarat fortunegiants,4,5,Raider
SEASON 7, Total Points,Amit Kumar,patna pirates,3,5,All Rounder
SEASON 7, Total Points,Ashish,patna pirates,7,5,Raider
SEASON 7, Total Points,Elavarasan A,jaipur pink,3,4,"Defender, left cover"
SEASON 7, Total Points,Mayur Shivtarkar,bengal warriors,6,4,All Rounder
SEASON 7, Total Points,Ajay,bengaluru bulls,9,4,Defender
SEASON 7, Total Points,Aman Kadian,dabang delhi,3,4,Raider
SEASON 7, Total Points,Parveen,haryana steelers,6,4,"Defender, left cover"
SEASON 7, Total Points,Purna Singh,patna pirates,6,4,Raider
SEASON 7, Total Points,Sachin Kumar,up yoddha,12,4,All Rounder
SEASON 7, Total Points,Gurvinder Singh,gujarat fortunegiants,2,4,Raider
SEASON 7, Total Points,Rakesh Narwal,bengal warriors,1,3,Raider
SEASON 7, Total Points,Ponparthiban Subramanian,tamil thalaivas,6,3,"Defender, right cover"
SEASON 7, Total Points,Adarsh T,bengal warriors,9,3,"Defender, left corner"
SEASON 7, Total Points,Himanshu,tamil thalaivas,3,3,"Defender, left corner"
SEASON 7, Total Points,Amit Kharb,gujarat fortunegiants,5,3,"Defender, right cover"
SEASON 7, Total Points,Ravinder,patna pirates,5,3,All Rounder
SEASON 7, Total Points,Balram,dabang delhi,2,2,All Rounder
SEASON 7, Total Points,Palle Mallikarjun,telugu titans,3,2,Raider
SEASON 7, Total Points,Gurdeep,up yoddha,2,2,All Rounder
SEASON 7, Total Points,Sandeep,puneri paltan,1,2,All Rounder
SEASON 7, Total Points,Arun Kumar HN,haryana steelers,2,2,Raider
SEASON 7, Total Points,Kamal Singh,telugu titans,3,2,Raider
SEASON 7, Total Points,Yashwant Bishnoi,tamil thalaivas,3,2,Raider
SEASON 7, Total Points,Rajaguru Subramanian,u mumba,5,2,"Defender, right cover"
SEASON 7, Total Points,Ravindra Ramesh Kumawat,bengal warriors,2,2,Raider
SEASON 7, Total Points,Sombir,dabang delhi,8,1,Defender
SEASON 7, Total Points,Mohammad Taghi Paein Mahali,bengal warriors,3,1,Raider
SEASON 7, Total Points,Satywan,dabang delhi,1,1,"Defender, left cover"
SEASON 7, Total Points,Ajinkya Rohidas Kapre,u mumba,2,1,All Rounder
SEASON 7, Total Points,Naveen Narwal,bengal warriors,3,1,"Defender, right cover"
SEASON 7, Total Points,Sumit,dabang delhi,2,1,"Defender, left cover"
SEASON 7, Total Points,Vikas Chhillar,haryana steelers,1,1,Raider
SEASON 7, Total Points,Aman,bengaluru bulls,2,1,"Defender, left corner"
SEASON 6, Total Points,Pawan Kumar Sehrawat,bengaluru bulls,24,282,Raider
SEASON 6, Total Points,Pardeep Narwal,patna pirates,21,233,Raider
SEASON 6, Total Points,Siddharth Sirish Desai,u mumba,21,221,Raider
SEASON 6, Total Points,Deepak Niwas Hooda,jaipur pink,22,208,All Rounder
SEASON 6, Total Points,Maninder Singh,bengal warriors,22,206,Raider
SEASON 6, Total Points,Ajay Thakur,tamil thalaivas,22,204,Raider
SEASON 6, Total Points,Sachin Tanwar,gujarat fortunegiants,23,204,Raider
SEASON 6, Total Points,Vikash Kandola,haryana steelers,22,177,Raider
SEASON 6, Total Points,Naveen Kumar,dabang delhi,22,177,Raider
SEASON 6, Total Points,Rohit Kumar,bengaluru bulls,24,171,Raider
SEASON 6, Total Points,Rahul Chaudhari,telugu titans,21,166,Raider
SEASON 6, Total Points,Monu Goyat,haryana steelers,20,164,Raider
SEASON 6, Total Points,Chandran Ranjit,dabang delhi,24,158,Raider
SEASON 6, Total Points,Prashanth Kumar Rai,up yoddha,21,147,Raider
SEASON 6, Total Points,Shrikant Jadhav,up yoddha,25,146,Raider
SEASON 6, Total Points,K. Prapanjan,gujarat fortunegiants,22,123,Raider
SEASON 6, Total Points,Rohit Baliyan,u mumba,19,108,Raider
SEASON 6, Total Points,Rishank Devadiga,up yoddha,23,104,Raider
SEASON 6, Total Points,Nitin Tomar,puneri paltan,11,102,Raider
SEASON 6, Total Points,Manjeet,patna pirates,22,102,Raider
SEASON 6, Total Points,Naveen,haryana steelers,21,102,Raider
SEASON 6, Total Points,Nitesh Kumar,up yoddha,25,101,Defender
SEASON 6, Total Points,Meraj Sheykh,dabang delhi,19,97,All Rounder
SEASON 6, Total Points,More GB,puneri paltan,22,91,Raider
SEASON 6, Total Points,Parvesh Bhainswal,gujarat fortunegiants,25,86,"Defender, left cover"
SEASON 6, Total Points,Nilesh Salunke,telugu titans,19,85,Raider
SEASON 6, Total Points,Kashiling Adake,bengaluru bulls,20,84,Raider
SEASON 6, Total Points,Fazel Atrachali,u mumba,23,83,"Defender, left corner"
SEASON 6, Total Points,Jang Kun Lee,bengal warriors,18,82,Raider
SEASON 6, Total Points,Sunil Kumar,gujarat fortunegiants,25,76,Defender
SEASON 6, Total Points,Ajinkya Ashok Pawar,jaipur pink,17,75,Raider
SEASON 6, Total Points,Deepak Narwal,patna pirates,17,74,Raider
SEASON 6, Total Points,Vijay,patna pirates,21,73,All Rounder
SEASON 6, Total Points,Ran Singh,bengal warriors,22,71,All Rounder
SEASON 6, Total Points,Sukesh Hegde,tamil thalaivas,17,71,Raider
SEASON 6, Total Points,Sachin Kumar,up yoddha,25,68,All Rounder
SEASON 6, Total Points,Sandeep Kumar Dhull,jaipur pink,22,67,"Defender, left corner"
SEASON 6, Total Points,Manjeet Chhillar,tamil thalaivas,19,67,All Rounder
SEASON 6, Total Points,Sandeep Narwal,puneri paltan,18,66,All Rounder
SEASON 6, Total Points,Mahender Singh,bengaluru bulls,24,63,"Defender, left cover"
SEASON 6, Total Points,Surender Singh,u mumba,22,62,Defender
SEASON 6, Total Points,Rohit Gulia,gujarat fortunegiants,19,61,All Rounder
SEASON 6, Total Points,Vishal Bhardwaj,telugu titans,17,60,Defender
SEASON 6, Total Points,Ravinder Pahal,dabang delhi,22,59,"Defender, right corner"
SEASON 6, Total Points,Jaideep,patna pirates,22,58,"Defender, left corner"
SEASON 6, Total Points,PO Surjeet Singh,bengal warriors,23,57,"Defender, right cover"
SEASON 6, Total Points,Monu,puneri paltan,14,57,Raider
SEASON 6, Total Points,Girish Maruti Ernak,puneri paltan,20,57,"Defender, left corner"
SEASON 6, Total Points,Mohsen Maghsoudloujafari,telugu titans,19,56,All Rounder
SEASON 6, Total Points,Abozar Mohajermighani,telugu titans,21,56,Defender
SEASON 6, Total Points,Athul MS,tamil thalaivas,19,56,Raider
SEASON 6, Total Points,Abhishek Singh,u mumba,15,53,Raider
SEASON 6, Total Points,Vinod Kumar,u mumba,17,51,All Rounder
SEASON 6, Total Points,Amit Hooda,tamil thalaivas,18,51,"Defender, right corner"
SEASON 6, Total Points,Joginder Singh Narwal,dabang delhi,22,51,"Defender, left corner"
SEASON 6, Total Points,Anup Kumar,jaipur pink,13,50,Raider
SEASON 6, Total Points,Darshan Kadian,u mumba,14,50,Raider
SEASON 6, Total Points,Kuldeep Singh,haryana steelers,22,49,Defender
SEASON 6, Total Points,Farhad Rahimi Milaghardan,telugu titans,22,47,All Rounder
SEASON 6, Total Points,Ruturaj Shivaji Koravi,gujarat fortunegiants,23,47,Defender
SEASON 6, Total Points,Mahesh Goud,bengal warriors,10,46,Raider
SEASON 6, Total Points,Jasvir Singh,tamil thalaivas,16,46,Raider
SEASON 6, Total Points,Pawan Kumar Kadian,dabang delhi,13,45,Raider
SEASON 6, Total Points,Ashish Kumar,bengaluru bulls,24,45,All Rounder
SEASON 6, Total Points,Ravindra Ramesh Kumawat,bengal warriors,12,42,Raider
SEASON 6, Total Points,Narender,up yoddha,25,42,All Rounder
SEASON 6, Total Points,Akshay Jadhav,puneri paltan,18,41,Raider
SEASON 6, Total Points,Selvamani K,jaipur pink,15,41,Raider
SEASON 6, Total Points,Sunil,haryana steelers,22,41,"Defender, right corner"
SEASON 6, Total Points,Ravi Kumar,puneri paltan,22,40,"Defender, right cover"
SEASON 6, Total Points,Jeeva Kumar,up yoddha,19,40,"Defender, right and left cover"
SEASON 6, Total Points,Dharmaraj Cheralathan,u mumba,22,40,"Defender, right and left corner"
SEASON 6, Total Points,Vikas Kale,patna pirates,22,39,"Defender, right cover"
SEASON 6, Total Points,Vishal Mane,dabang delhi,22,38,"Defender, right cover"
SEASON 6, Total Points,Rohit Rana,u mumba,19,38,"Defender, left cover"
SEASON 6, Total Points,Sunil Siddhgavali,jaipur pink,16,38,Defender
SEASON 6, Total Points,Amit Sheoran,bengaluru bulls,15,38,Defender
SEASON 6, Total Points,Vikas Jaglan,patna pirates,14,37,All Rounder
SEASON 6, Total Points,Deepak Kumar Dahiya,puneri paltan,11,34,Raider
SEASON 6, Total Points,Ajay Kumar,gujarat fortunegiants,13,33,Raider
SEASON 6, Total Points,Amit Kumar,jaipur pink,17,33,Raider
SEASON 6, Total Points,Nitin Rawal,jaipur pink,9,31,All Rounder
SEASON 6, Total Points,Dong Geon Lee,gujarat fortunegiants,11,31,Raider
SEASON 6, Total Points,Mohit Chhillar,jaipur pink,14,31,"Defender, right corner"
SEASON 6, Total Points,Mahendra Ganesh Rajput,gujarat fortunegiants,13,30,Raider
SEASON 6, Total Points,Anil Kumar,telugu titans,18,30,"Defender, left cover"
SEASON 6, Total Points,Baldev Singh,bengal warriors,18,28,"Defender, right corner"
SEASON 6, Total Points,Sachin Vittala,gujarat fortunegiants,22,28,"Defender, left corner"
SEASON 6, Total Points,Parveen,haryana steelers,19,28,"Defender, left cover"
SEASON 6, Total Points,Sachin Shingade,haryana steelers,19,25,"Defender, left cover"
SEASON 6, Total Points,Abolfazl Maghsodloumahali,u mumba,10,25,Raider
SEASON 6, Total Points,Mayur Shivtarkar,haryana steelers,18,23,All Rounder
SEASON 6, Total Points,Jawahar Dagar,patna pirates,15,23,Defender
SEASON 6, Total Points,Azad Singh,up yoddha,9,23,Raider
SEASON 6, Total Points,D. Pradap,tamil thalaivas,13,22,All Rounder
SEASON 6, Total Points,Rinku Narwal,puneri paltan,15,21,Defender
SEASON 6, Total Points,Amit Nagar,bengal warriors,9,21,Raider
SEASON 6, Total Points,Harish Naik,bengaluru bulls,7,21,Raider
SEASON 6, Total Points,Tushar Patil,patna pirates,9,20,Raider
SEASON 6, Total Points,Rajesh Narwal,dabang delhi,16,20,All Rounder
SEASON 6, Total Points,Raju Lal Choudhary,bengaluru bulls,16,20,"Defender, right corner"
SEASON 6, Total Points,Hadi Oshtorak,gujarat fortunegiants,13,18,All Rounder
SEASON 6, Total Points,Sagar B Krishna,up yoddha,20,18,All Rounder
SEASON 6, Total Points,Ponparthiban Subramanian,tamil thalaivas,12,17,"Defender, right cover"
SEASON 6, Total Points,Sandeep,bengaluru bulls,10,16,"Defender, left corner"
SEASON 6, Total Points,CPO Surjeet Singh,tamil thalaivas,9,16,Raider
SEASON 6, Total Points,Young Chang Ko,jaipur pink,13,15,"Defender, left cover"
SEASON 6, Total Points,Sumit Singh,bengaluru bulls,8,15,Raider
SEASON 6, Total Points,Satpal,dabang delhi,12,15,"Defender, right corner"
SEASON 6, Total Points,Manish,patna pirates,17,15,"Defender, right cover"
SEASON 6, Total Points,Kamal Singh,telugu titans,8,15,Raider
SEASON 6, Total Points,Armaan,telugu titans,4,15,All Rounder
SEASON 6, Total Points,C Manoj Kumar,telugu titans,12,14,"Defender, left cover"
SEASON 6, Total Points,Adarsh T,bengal warriors,10,14,"Defender, left corner"
SEASON 6, Total Points,Santhapanaselvam,jaipur pink,14,14,All Rounder
SEASON 6, Total Points,Rakshith,telugu titans,11,14,Raider
SEASON 6, Total Points,Rajesh Mondal,puneri paltan,11,14,Raider
SEASON 6, Total Points,Shrikant Tewthia,bengal warriors,8,13,All Rounder
SEASON 6, Total Points,Bhupender Singh,bengal warriors,4,13,All Rounder
SEASON 6, Total Points,Sunil,tamil thalaivas,11,13,"Defender, left corner"
SEASON 6, Total Points,Anand Patil,jaipur pink,7,13,Raider
SEASON 6, Total Points,Ziaur Rahman,bengal warriors,18,12,"Defender, left cover"
SEASON 6, Total Points,Parvesh,puneri paltan,6,12,Raider
SEASON 6, Total Points,Krushna Madane,telugu titans,6,12,Defender
SEASON 6, Total Points,Shubham Shinde,puneri paltan,10,12,"Defender, right corner"
SEASON 6, Total Points,Kuldeep Singh,patna pirates,7,10,All Rounder
SEASON 6, Total Points,Rakesh Narwal,bengal warriors,6,10,Raider
SEASON 6, Total Points,Vijin Thangadurai,bengal warriors,16,10,"Defender, right cover"
SEASON 6, Total Points,Rajaguru Subramanian,u mumba,8,10,"Defender, right cover"
SEASON 6, Total Points,Sandeep,puneri paltan,5,10,All Rounder
SEASON 6, Total Points,Vishal,dabang delhi,6,10,All Rounder
SEASON 6, Total Points,Anand Surendra Tomar,haryana steelers,5,9,Raider
SEASON 6, Total Points,Ajit Singh,jaipur pink,6,9,Raider
SEASON 6, Total Points,Ravinder Kumar,patna pirates,8,9,All Rounder
SEASON 6, Total Points,Bhanu Pratap Tomar,up yoddha,6,9,Raider
SEASON 6, Total Points,Rajnish,telugu titans,4,9,Raider
SEASON 6, Total Points,Amit Kumar,puneri paltan,6,8,Raider
SEASON 6, Total Points,Anand,tamil thalaivas,3,8,Raider
SEASON 6, Total Points,Anil Kumar,tamil thalaivas,4,8,Raider
SEASON 6, Total Points,C. Arun,tamil thalaivas,16,8,"Defender, left cover"
SEASON 6, Total Points,Yogesh Hooda,dabang delhi,6,8,Raider
SEASON 6, Total Points,Shabeer Bappu,dabang delhi,6,7,Raider
SEASON 6, Total Points,D. Gopu,tamil thalaivas,5,7,"Defender, right and left corner"
SEASON 6, Total Points,Anil Kumar,dabang delhi,5,7,"Defender, left corner"
SEASON 6, Total Points,Lalit Chaudhary,gujarat fortunegiants,3,7,Raider
SEASON 6, Total Points,Mahesh Maruti Magdum,bengaluru bulls,4,7,All Rounder
SEASON 6, Total Points,Victor Onyango Obiero,tamil thalaivas,3,6,All Rounder
SEASON 6, Total Points,Anuj Kumar,telugu titans,7,6,"Defender, right cover"
SEASON 6, Total Points,Bhuvneshwar Gaur,haryana steelers,6,6,Raider
SEASON 6, Total Points,Viraj Vishnu Landge,dabang delhi,7,6,"Defender, left cover"
SEASON 6, Total Points,Amit,up yoddha,14,6,"Defender, left cover"
SEASON 6, Total Points,Darshan J.,tamil thalaivas,9,6,"Defender, right cover"
SEASON 6, Total Points,Prateek,haryana steelers,6,5,All Rounder
SEASON 6, Total Points,Dharmender,gujarat fortunegiants,4,5,Raider
SEASON 6, Total Points,Sudhanshu Tyagi,haryana steelers,13,4,"Defender, right cover"
SEASON 6, Total Points,Ajay,bengaluru bulls,7,4,Defender
SEASON 6, Total Points,Arjun Deshwal,u mumba,3,4,Raider
SEASON 6, Total Points,Lokesh Kaushik,jaipur pink,6,4,Raider
SEASON 6, Total Points,Gangadhari Mallesh,jaipur pink,6,4,Raider
SEASON 6, Total Points,Jasmer Singh Gulia,bengaluru bulls,6,4,All Rounder
SEASON 6, Total Points,Manoj Dhull,bengal warriors,8,4,"Defender, right corner"
SEASON 6, Total Points,David Shilisia J Mosambayi,jaipur pink,4,4,Raider
SEASON 6, Total Points,Amit Kumar,bengal warriors,2,4,Raider
SEASON 6, Total Points,Rohit Kumar Choudary,up yoddha,6,3,Raider
SEASON 6, Total Points,Anand V,bengaluru bulls,3,3,Raider
SEASON 6, Total Points,Vijay Kumar,patna pirates,4,3,"Defender, right corner"
SEASON 6, Total Points,Md. Masud Karim,up yoddha,3,3,Raider
SEASON 6, Total Points,Mithin Kumar,bengal warriors,3,3,Raider
SEASON 6, Total Points,Ankit,bengaluru bulls,6,3,Defender
SEASON 6, Total Points,Vimal Raj V,tamil thalaivas,5,2,All Rounder
SEASON 6, Total Points,Gaurav Kumar,u mumba,3,2,Raider
SEASON 6, Total Points,Amit Kharb,gujarat fortunegiants,6,2,"Defender, right cover"
SEASON 6, Total Points,Vishav Chaudhary,up yoddha,2,2,"Defender, left cover"
SEASON 6, Total Points,N. Shiva Ramakrishna,jaipur pink,1,2,All Rounder
SEASON 6, Total Points,Shubham Ashok Palkar,gujarat fortunegiants,4,2,Raider
SEASON 6, Total Points,Wazir Singh,haryana steelers,2,2,Raider
SEASON 6, Total Points,Tae Deok Eom,patna pirates,11,1,All Rounder
SEASON 6, Total Points,Nithesh B R,bengaluru bulls,2,1,"Defender, right corner"
SEASON 6, Total Points,Bajirao Hodage,jaipur pink,6,1,"Defender, right cover"
SEASON 6, Total Points,Sombir,telugu titans,4,1,Defender
SEASON 6, Total Points,E Subash,u mumba,2,1,All Rounder
SEASON 6, Total Points,Tapas Pal,dabang delhi,2,1,All Rounder
SEASON 6, Total Points,Pankaj,up yoddha,1,1,All Rounder
SEASON 6, Total Points,Arun Kumar HN,haryana steelers,2,1,Raider
SEASON 6, Total Points,Vikram Kandola,gujarat fortunegiants,1,1,"Defender, left cover"
SEASON 6, Total Points,Aashish Nagar,up yoddha,3,1,"Defender, right corner"
SEASON 5, Total Points,Pardeep Narwal,patna pirates,26,369,Raider
SEASON 5, Total Points,Rohit Kumar,bengaluru bulls,22,231,Raider
